 , 7, , 4, 2, 7, 4, 4, 7, 4, 10, 2, 5, 4, 4, 5, 15, 8, 7, 4, 9, 4, 10, 5, 9, 3, 8, 9, 6, 5, 5, 5, 7, 7, 2, 3, 7, 7, 6, 4, 5, 5, 7, 9, 9, 4, 4, 4, 5, 9, 7, 6, 5, 8, 4, X, 2, 4, 8, 7, 2, 5, 4, 2, 9, 5, 1, 5, 6, 5, 13, 5, 14, X, 4, , 4, 5, 5, 5, 15, 3, 2, 3, 12, 10, 5, 12, 7, 4
 3, 2, 12, 2, 2, 7, 4, 5, 3, 6, 6, 5, 8, 4, 2, 3, 4, 11, 3, 6, 3, 6, 10, 7, 13, 9, 5, 1, 3, 6, 4, 4, 2, 9, 3, 4, 4, 7, 5, 5, 3, 7, 6, 4, 10, 3, 8, 7, 5, 7, 6, 10, 2, 3, 8, X, 4, 6, 7, 10, 5, 3, 6, 5, 6, 5, 5, 5, 5, 5, 3, 10, 6, X, 4, , 6, 5, 8, 11, 6, 7, 6, 4, 5, 11, 6, 13, 3, 4
 6, 5, 5, 5, 4, 8, 2, 2, 3, 11, 3, 4, 3, 5, 7, 4, 7, 4, 2, 6, 10, 4, 3, 3, 11, 2, 2, 6, 8, 0, 0, 4, 2, 3, 9, 2, 6, 6, 7, 8, 5, 5, 7, 2, 3, 3, 4, 3, 4, 3, 4, 7, 4, 4, 6, X, 8, 7, 6, 8, 6, 6, 3, 9, 7, 6, 5, 2, 6, 5, 7, 4, 10, X, 2, , 5, 8, 6, , 7, 0, 6, 8, 6, 5, 12, 8, 2, 4
 2, 0, 7, 4, 3, 8, 3, 6, 2, 5, 6, 3, 6, 4, 2, 11, 3, 6, 2, 3, 11, 6, 8, 3, 8, 2, 2, 5, 5, 2, 8, 2, 2, 3, 3, 8, 6, 6, 2, 2, 2, 7, 6, 4, 10, 9, 8, 3, 2, 6, 12, 9, 4, 3, 5, X, 4, 5, 7, 7, 7, 5, 3, 2, 8, 5, 8, 4, 6, 8, 4, 8, 7, X, 5, , 5, 8, 5, 7, 8, 0, 10, 7, 9, 4, 13, 11, X, 5
 6, 2, 8, 3, 2, 6, 6, 9, 4, 4, 3, 6, 4, 4, 2, 3, 11, 3, 6, 6, 6, 14, 3, 5, 9, 4, 5, 6, 4, 7, 7, 5, 4, 7, 3, 5, 4, 13, 3, 2, 4, 3, 5, 3, 12, 4, 2, 2, 5, 0, 8, 9, 4, 8, 2, X, 7, 12, 6, 8, 4, 5, 3, 10, 4, 7, 8, 10, 8, 5, 7, 13, 11, X, 8, , 7, 4, 6, 10, 10, 11, 4, 8, 7, 8, 6, 6, 5, 4
 2, 4, 5, 2, 3, 8, , 6, 2, 2, 6, 6, 3, 5, 9, 2, 6, 5, 0, 4, 6, 7, 9, 12, 6, 6, 10, 4, 2, 5, 13, 7, 3, 5, 5, 3, 6, 0, 6, 2, 4, 10, 6, 11, 5, 7, 4, 2, 3, 6, 6, 6, 2, 7, 4, X, 5, 8, 8, 6, 8, 7, 4, 2, 4, 4, 8, 3, 2, 7, 8, 11, 10, X, 6, , 11, 5, 4, 5, 8, 6, 5, 3, 5, 6, 7, 12, 5, 11
 4, 5, 4, 4, 6, 7, 3, 7, 4, 7, 6, 9, 4, 4, 5, 7, 4, 5, 2, 8, 5, 9, 5, 9, 5, 7, 10, 3, 6, 3, 4, 10, 4, 4, 5, 8, 3, 9, 5, 7, 2, 6, 3, 9, 9, 8, 4, 3, 3, 4, 3, 6, 3, 2, 5, X, 8, 6, 4, 5, 0, 6, 5, 5, 6, 5, 2, 5, 5, 8, 5, 10, 19, X, 3, , 2, 9, 10, 9, 5, 4, 6, 9, 2, 3, 9, 7, 0, 4
 2, 5, 5, 4, 4, 10, 4, 5, 5, 7, 4, 7, 4, 5, 8, 3, 5, 7, 4, 7, 7, 6, 8, 4, 6, 4, 6, 3, 6, 9, 7, 3, 2, 0, 4, 5, 7, 9, 9, 4, 5, 10, 3, 11, 4, 5, 3, 2, 4, 5, 5, 6, 19, 3, 8, X, 2, 4, 19, 13, 5, 5, 3, 3, 9, 10, 5, 6, 5, 13, 3, 8, 11, X, 4, , , 6, 6, 1, 5, 6, 4, 6, 8, 4, 6, 6, 3, 10
 4, 4, 5, 5, 4, 7, 4, 3, 5, 5, 8, 3, 6, 9, 4, 5, 12, 8, 4, 6, 8, 5, 3, 8, 7, 1, 4, 3, 6, 8, 4, 5, 3, 2, 11, 11, 4, 6, 7, 1, 6, 5, 6, 3, 3, 5, 3, 2, 2, 1, 7, 6, 7, 9, 2, X, 8, 6, 8, 5, 5, 6, 9, 5, 5, 11, 4, 8, 5, 6, 8, 4, 10, X, 5, , 6, 10, 4, 6, 5, 3, 4, 5, 5, 6, 6, 5, 5, 5
 6, 2, 2, 2, 4, , 12, 3, 2, 7, 10, 6, 2, 3, 6, 5, 6, 5, 7, 4, 5, 5, 5, 6, 3, 4, 6, 5, 3, 4, 4, 5, 0, 3, 8, 8, 3, 14, 3, 1, 5, 8, 3, 6, 0, 7, 6, 5, 10, 9, 6, 8, 4, 4, 3, X, 3, 8, 8, 4, 5, 6, 5, 10, 2, , 4, 4, 5, 7, 6, 4, 3, X, 6, , 7, 5, 5, 9, 8, 1, 5, 17, 8, 11, 9, 10, 4, 7
