,truelabel,predictres
2015-03-02 0:00,628,1067.513668
2015-03-02 0:15,888,1025.724939
2015-03-02 0:30,642,1037.95938
2015-03-02 0:45,928,1024.413828
2015-03-02 1:00,893,1074.875436
2015-03-02 1:15,1027,1098.468764
2015-03-02 1:30,915,975.0551515
2015-03-02 1:45,963,1039.377232
2015-03-02 2:00,979,989.9666291
2015-03-02 2:15,946,1039.540754
2015-03-02 2:30,868,1018.244099
2015-03-02 2:45,1011,1038.479918
2015-03-02 3:00,1010,991.895928
2015-03-02 3:15,922,1062.37123
2015-03-02 3:30,1039,963.9855101
2015-03-02 3:45,1081,1000.51438
2015-03-02 4:00,984,1006.461224
2015-03-02 4:15,877,1031.63587
2015-03-02 4:30,979,976.560198
2015-03-02 4:45,1074,1061.170993
2015-03-02 5:00,1038,1043.264335
2015-03-02 5:15,1040,1014.039669
2015-03-02 5:30,1034,995.503154
2015-03-02 5:45,1005,996.0404029
2015-03-02 6:00,976,1013.153024
2015-03-02 6:15,1196,1006.216762
2015-03-02 6:30,1005,1062.306785
2015-03-02 6:45,1039,1018.014326
2015-03-02 7:00,1084,965.1273749
2015-03-02 7:15,1110,1025.342972
2015-03-02 7:30,981,966.6429553
2015-03-02 7:45,820,987.3420511
2015-03-02 8:00,458,998.2895583
2015-03-02 8:15,982,1064.705344
2015-03-02 8:30,987,1032.765188
2015-03-02 8:45,1028,935.1155178
2015-03-02 9:00,1092,972.9180331
2015-03-02 9:15,887,880.6993937
2015-03-02 9:30,619,904.7179406
2015-03-02 9:45,1032,1024.091385
2015-03-02 10:00,1011,1041.440524
2015-03-02 10:15,1045,985.6448925
2015-03-02 10:30,989,1010.45608
2015-03-02 10:45,1509,915.7992075
2015-03-02 11:00,874,888.6188901
2015-03-02 11:15,903,1008.871404
2015-03-02 11:30,870,1048.665197
2015-03-02 11:45,950,1078.377409
2015-03-02 12:00,1235,1003.403953
2015-03-02 12:15,1068,1112.435724
2015-03-02 12:30,1043,846.8886216
